SUBJECT,FLOOR,AISLE,ROOM/DESCRIPTION,KEYWORDS
Eyes & Eyesight Health,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare, Vision, Eye Balls, seeing,"
Ezra Pound (P.B.),3,N,,"Paperback, Paper Back"
Faberge,2,38,,"Collecting, Collectible, Collectibles, "
Family,4,5-7,,
Family (P.B.),3,H,,"Paperback, Paper Back"
Family Practice,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Farmer's Almanac,3,87,,"Gardening, Agriculture, Reference,"
Farms,3,87,,"Gardening, Agriculture"
Fashion,3,79,,"Sewing, Textiles, Clothes, Costumes"
Fasting,4,66,,"Religion,"
Feet & Ankles,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Feng Shui,2,42,,"Interior Decorating, Decor, Design, Asian, "
Fertility,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Fertilizer,3,87,,"Agriculture, Gardening, Soil, Farming, Planting"
Fiction - Action/Adventure,2,Center,"Middle of Floor, Two endcaps between P.B. Fic & Nursing","Paperback, Paper Back"
Fiction - African American,1,-,"Room 3A, 3B, 3C","Paperback, Paper Back"
Fiction - Classic Literature,1,1-10,Register Room,"Fiction, "
Fiction - General A-B,3,Center,"East & West Sides, Starts halfway and goes to rear","General Fiction, "
Fiction - General A-Z (P.B.),2,"Center, West Wall",Rear of Floor,"Paperback, Paper Back, General Fiction"
Fiction - General Anthology,4,Center,"Middle, East Side","Fiction, Literature,"
Fiction - General B-Z,3,2-43,,"General Fiction, "
Fiction - Horror,3,D,,"Literature,"
Fiction - Horror (P.B.),2,44,,"Paperback, Paper Back"
Fiction - Juvenile/Children's,1,31-35,Room 4,"Kids, Childrens, Young, Junior, Child, "
Fiction - Mystery (P.B.),2,Center,Front of Floor,"Paperback, Paper Back"
Fiction - Mystery A-V,3,44-49,,
Fiction - Mystery Anthology,4,Center,"Middle, East Side","Fiction, Literature,"
Fiction - Mystery V-Z,3,East Wall,Rear,
Fiction - Paranormal Romance,2,44,,
Fiction - Romance,2,44,,
Fiction - Sci-Fi & Fantasy,3,84-86,,Science Fiction
Fiction - Sci-Fi & Fantasy (P.B.),3,51-54,,"Paperback, Paper Back, Science Fiction"
Fiction - Sci-Fi & Fantasy Anthology,3,Center,Front of Floor,Science Fiction
Fiction - Western,3,A,,"Literature, Americana,"
Fiction - Young Adult/Teen,3,1,,"YA,"
Field Guides,2,6,,"Camping, Nature, Survival, Hiking, Woods, Fishing, Trees, Plants, Animals, Outdoors,"
Fiji,4,55,,"Countries, Country, South Pacific, Oceana,"
